--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
C:\Users\Lenovo\AppData\Local\Temp\tmpucoqzmyw_cropped.png	total                    	0.9999
C:\Users\Lenovo\AppData\Local\Temp\tmpw0i0kp62_cropped.png	servingsuggestion        	0.5296
C:\Users\Lenovo\AppData\Local\Temp\tmpw57qkb6k_cropped.png	net                      	0.9986
C:\Users\Lenovo\AppData\Local\Temp\tmpx_wzuluf_cropped.png	satfat                   	0.9707
C:\Users\Lenovo\AppData\Local\Temp\tmpxji9adcv_cropped.png	simply                   	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmpxo1887ov_cropped.png	nonute                   	0.3304
C:\Users\Lenovo\AppData\Local\Temp\tmpy1vsu08p_cropped.png	madey                    	0.2052
C:\Users\Lenovo\AppData\Local\Temp\tmpyuet8l62_cropped.png	export                   	1.0000
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
C:\Users\Lenovo\AppData\Local\Temp\tmp2prdtcbm_cropped.png	noodlest                 	0.3628
C:\Users\Lenovo\AppData\Local\Temp\tmp3rupz6yg_cropped.png	sugars                   	0.9999
C:\Users\Lenovo\AppData\Local\Temp\tmp3wl39rrs_cropped.png	170ghisters              	0.0001
C:\Users\Lenovo\AppData\Local\Temp\tmp5b3dh62x_cropped.png	net                      	0.9984
C:\Users\Lenovo\AppData\Local\Temp\tmp6wy7ibkl_cropped.png	per                      	0.9943
C:\Users\Lenovo\AppData\Local\Temp\tmp88i7hqxf_cropped.png	simply                   	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmp96cqbaho_cropped.png	310                      	0.9896
C:\Users\Lenovo\AppData\Local\Temp\tmp248ioq_7_cropped.png	mixpacket                	0.9998
C:\Users\Lenovo\AppData\Local\Temp\tmp829whlju_cropped.png	indian                   	0.9999
C:\Users\Lenovo\AppData\Local\Temp\tmp2929n_my_cropped.png	satfat                   	0.9710
C:\Users\Lenovo\AppData\Local\Temp\tmp_inyvokr_cropped.png	insidential              	0.0387
C:\Users\Lenovo\AppData\Local\Temp\tmpae1uff97_cropped.png	nonute                   	0.2733
C:\Users\Lenovo\AppData\Local\Temp\tmpafg5y6lv_cropped.png	neo                      	0.9834
C:\Users\Lenovo\AppData\Local\Temp\tmpafh9i__m_cropped.png	good                     	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmpag_loyqw_cropped.png	quality                  	0.9995
C:\Users\Lenovo\AppData\Local\Temp\tmpb00z7234_cropped.png	masalas                  	0.2834
C:\Users\Lenovo\AppData\Local\Temp\tmpcupg6dhv_cropped.png	authentic                	0.9997
C:\Users\Lenovo\AppData\Local\Temp\tmpdy2epdqk_cropped.png	within                   	0.7359
C:\Users\Lenovo\AppData\Local\Temp\tmpeq5o_frr_cropped.png	package                  	0.9999
C:\Users\Lenovo\AppData\Local\Temp\tmpfg1p9pmn_cropped.png	spices                   	0.9998
C:\Users\Lenovo\AppData\Local\Temp\tmpfs_mo9a5_cropped.png	wthering                 	0.0034
C:\Users\Lenovo\AppData\Local\Temp\tmphz8yojdt_cropped.png	9700111111111111111111111	0.0000
C:\Users\Lenovo\AppData\Local\Temp\tmpigkz8p64_cropped.png	servingsuggestion        	0.5842
C:\Users\Lenovo\AppData\Local\Temp\tmpk7hmkeqt_cropped.png	2464                     	0.2729
C:\Users\Lenovo\AppData\Local\Temp\tmpm2y_euzs_cropped.png	pack                     	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmpo9z46iv9_cropped.png	sodiuman                 	0.2816
C:\Users\Lenovo\AppData\Local\Temp\tmpr_fryymh_cropped.png	madey                    	0.1850
C:\Users\Lenovo\AppData\Local\Temp\tmpu5_m22ke_cropped.png	x                        	0.4254
C:\Users\Lenovo\AppData\Local\Temp\tmpux5gdfea_cropped.png	export                   	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmpv1jmavc__cropped.png	spiceliz                 	0.1414
C:\Users\Lenovo\AppData\Local\Temp\tmpwbm5k56j_cropped.png	total                    	0.9999
C:\Users\Lenovo\AppData\Local\Temp\tmpxld03t_y_cropped.png	calories                 	0.9965
C:\Users\Lenovo\AppData\Local\Temp\tmpxz7m6i9e_cropped.png	25000                    	0.0703
C:\Users\Lenovo\AppData\Local\Temp\tmpznghwihf_cropped.png	maggi                    	0.9996
C:\Users\Lenovo\AppData\Local\Temp\tmpzykllg9g_cropped.png	i                        	0.5403
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./text_prediction_non-doc/maggi-f-cropped/maggi-1.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-2.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-3.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-4.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-5.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-6.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-7.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-8.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-9.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-10.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-11.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-12.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-13.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-14.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-15.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-16.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-17.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-18.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-19.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-20.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-21.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-22.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-23.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-24.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-25.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-26.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-27.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-28.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-29.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-30.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-31.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-32.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-33.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-34.jpg	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-35.jpg	a                        	0.2105
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./text_prediction_non-doc/maggi-f-cropped/maggi-1.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-2.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-3.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-4.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-5.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-6.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-7.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-8.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-9.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-10.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-11.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-12.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-13.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-14.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-15.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-16.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-17.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-18.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-19.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-20.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-21.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-22.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-23.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-24.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-25.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-26.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-27.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-28.png	a                        	0.2105
